mensaje,longitud_bits,intentos,delta_media_bits,porcentaje_cambiado,sigma_bits,min,max
a,8,8,15.3750,48.0469,1.7678,13,18
1,8,8,15.0000,46.8750,3.2514,10,19
ok,16,16,16.7500,52.3438,2.8868,13,23
no,16,16,17.5625,54.8828,2.7318,14,22
sol,24,24,16.3333,51.0417,2.9879,9,22
hola mundo,80,80,16.3750,51.1719,3.1154,9,22
criptografia,96,96,15.9375,49.8047,3.0186,9,24
seguridad,72,72,16.4861,51.5191,2.7731,10,24
funcion hash,96,96,16.1042,50.3255,2.9504,9,23
universidad anahuac,152,152,15.9934,49.9794,3.1275,7,24
murcielago,80,80,15.8750,49.6094,2.8301,10,24
computadora,88,88,16.3409,51.0653,3.0957,9,24
laboratorio blockchain,176,176,16.2273,50.7102,2.5778,7,21
ingenieria,80,80,15.6625,48.9453,2.8192,8,21
tarea artesanal,120,120,16.0000,50.0000,2.5700,10,22
aaaaaaaaaa,80,80,15.9625,49.8828,2.8482,9,21
1111111111,80,80,15.5375,48.5547,2.7967,9,24
0101010101010101,128,128,15.7734,49.2920,2.7299,10,22
abcabcabcabc,96,96,15.9167,49.7396,2.7859,9,23
xyzxyzxyzxyz,96,96,16.1146,50.3581,2.5126,11,23
qWeRtY321,72,72,15.7222,49.1319,2.9418,10,23
zXcMbV98,64,64,15.2969,47.8027,3.0168,9,23
a1b2c3d4e5,80,80,15.8000,49.3750,2.5278,10,22
p0LqWe9R,64,64,15.7188,49.1211,2.4654,9,21
mKjIuHyG,64,64,16.1094,50.3418,2.8122,10,24
Este es un mensaje mucho ...,456,456,15.7346,49.1708,2.9001,8,24
El efecto avalancha es cr...,472,472,15.9534,49.8543,2.7489,8,24
Buscando colisiones y pre...,504,504,15.9802,49.9380,3.0221,7,25
Un pequeño cambio en la e...,528,528,15.8239,49.4496,2.7840,7,24
Fin de la lista de treint...,520,520,16.2596,50.8113,2.7859,9,23
Global,-,4416,15.9692,49.9038,2.8375,7,25
