rondas,intentos,delta_media_bits,AV_porcentaje,sigma_bits,sigma_porcentaje,min,max
1,4416,11.3505,35.4704,4.9213,15.3792,2,26
2,4416,14.1966,44.3642,3.9540,12.3563,2,25
3,4416,15.2987,47.8084,3.3793,10.5602,2,27
4,4416,15.6442,48.8883,3.0344,9.4826,3,27
5,4416,15.8159,49.4247,2.9430,9.1969,5,27
6,4416,15.9608,49.8776,2.8424,8.8825,6,24
7,4416,15.9783,49.9321,2.8277,8.8366,6,26
8,4416,15.9692,49.9038,2.8375,8.8670,7,25
9,4416,16.0303,50.0948,2.8202,8.8133,6,26
10,4416,15.9534,49.8542,2.8513,8.9104,6,27
11,4416,16.0566,50.1769,2.8937,9.0429,6,26
12,4416,16.0494,50.1543,2.8237,8.8242,5,27
13,4416,15.9828,49.9462,2.7994,8.7481,7,25
14,4416,16.0111,50.0347,2.8319,8.8496,7,25
