d,replica,semilla,intentos,tiempo_ms
3,0,317159,4943,493.927399860695
3,1,317160,2480,237.72630002349615
3,2,317161,4477,424.7347000055015
3,3,317162,5776,528.9346999488771
3,4,317163,10914,951.4983000699431
3,5,317164,8862,832.3731999844313
3,6,317165,783,71.78879994899035
3,7,317166,7598,697.6439000573009
3,8,317167,1959,176.45360017195344
3,9,317168,773,75.53360005840659
3,10,317169,365,38.1158001255244
3,11,317170,6440,612.9621998406947
3,12,317171,156,15.326399821788073
3,13,317172,7281,678.2174999825656
3,14,317173,7553,704.1621999815106
3,15,317174,127,11.245399946346879
3,16,317175,8666,764.2777999863029
3,17,317176,3223,303.0838998965919
3,18,317177,2384,204.0488999336958
3,19,317178,13130,1193.0072999093682
3,20,317179,1730,141.82729995809495
3,21,317180,4288,335.41680010966957
3,22,317181,6885,516.3678999524564
3,23,317182,640,48.6345998942852
3,24,317183,4143,276.99839998967946
3,25,317184,4636,500.0233999453485
3,26,317185,1841,191.24200008809566
3,27,317186,605,69.00420016609132
3,28,317187,5276,513.7392000760883
3,29,317188,12301,926.3776999432594
3,30,317189,3148,255.0196999218315
3,31,317190,3950,352.5668000802398
3,32,317191,2325,175.83040008321404
3,33,317192,169,15.951199922710657
3,34,317193,5742,444.2070000804961
3,35,317194,6536,490.5191999860108
3,36,317195,324,31.366099836304784
3,37,317196,5487,421.3483000639826
3,38,317197,932,59.263400034978986
3,39,317198,6559,573.2288002036512
3,40,317199,5167,429.83290017582476
3,41,317200,817,55.37300021387637
3,42,317201,308,26.698000030592084
3,43,317202,3496,304.19340007938445
3,44,317203,12407,1004.5913001522422
3,45,317204,759,55.93169992789626
3,46,317205,5262,373.302600113675
3,47,317206,1291,80.9936998412013
3,48,317207,3927,252.5854001287371
3,49,317208,9135,676.1171000543982
3,0,20263825,5586,553.4004999790341
3,1,20263826,7572,393.9060000702739
3,2,20263827,254,14.39690007828176
3,3,20263828,7384,453.98710016161203
3,4,20263829,5884,342.4774999730289
3,5,20263830,134,12.3004000633955
