d,replica,semilla,intentos,tiempo_ms
3,0,20263825,11120,818.7117001507431
3,1,20263826,8879,787.840100005269
3,2,20263827,7102,472.63019997626543
3,3,20263828,859,51.07349995523691
3,4,20263829,5002,313.21970000863075
3,5,20263830,5206,361.635799985379
3,6,20263831,22738,1644.2226998042315
3,7,20263832,6370,512.0099999476224
3,8,20263833,1496,121.8663000036031
3,9,20263834,4695,360.5696999002248
3,10,20263835,12582,888.6080000083894
3,11,20263836,9622,960.6039000209421
3,12,20263837,3944,227.81870001927018
3,13,20263838,3592,204.3999000452459
3,14,20263839,1450,87.06029993481934
3,15,20263840,13722,996.2759001646191
3,16,20263841,8679,669.0477998927236
3,17,20263842,7443,550.3527999389917
3,18,20263843,2402,169.26019988022745
3,19,20263844,5412,338.7563999276608
3,20,20263845,85,5.531500093638897
3,21,20263846,1178,90.05760005675256
3,22,20263847,3644,268.2430997956544
3,23,20263848,3140,212.97749993391335
3,24,20263849,4258,304.271100088954
3,25,20263850,10128,766.3261000998318
3,26,20263851,9468,795.8295000717044
3,27,20263852,2740,258.2634000573307
3,28,20263853,3494,227.01729997061193
3,29,20263854,7924,426.06319999322295
3,30,20263855,12702,685.0111000239849
3,31,20263856,10518,583.9367001317441
3,32,20263857,7017,566.7560999281704
3,33,20263858,7836,563.5484999511391
3,34,20263859,7985,455.17840003594756
3,35,20263860,3893,199.22240008600056
3,36,20263861,2854,245.10820000432432
3,37,20263862,1593,148.9583000075072
3,38,20263863,2767,203.0768000986427
3,39,20263864,64,6.839999929070473
3,40,20263865,1695,132.67250009812415
3,41,20263866,9440,729.875799966976
3,42,20263867,5247,410.2685998659581
3,43,20263868,6455,454.3739000800997
3,44,20263869,10198,625.404299935326
3,45,20263870,10500,752.6455998886377
3,46,20263871,7966,599.4543998967856
3,47,20263872,2844,322.1108999568969
3,48,20263873,7398,481.75569996237755
3,49,20263874,2611,267.75079988874495
3,50,20263875,501,43.370099971070886
3,51,20263876,8192,571.0195999126881
3,52,20263877,553,28.404399985447526
3,53,20263878,3733,220.1525999698788
